A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
1560130 101022100 1 10 ///// 00044 N00040 E00043 Z00022 P002P///P002P///P002P///                
1560300 101022113 1 09 22118 00040 N00025 E00039 Z00026 F042F042F042F042F053F053                
1560430 101022110 1 14 ///// 00060 N00035 E00058 Z00045 P002P///P004P///P001P///                
1560500 101021577 1 06 22067 00044 N00025 E00034 Z00023 F049F049F042F042F043P205                
1560530 101022080 1 09 ///// 00044 N00040 E00031 Z00015 P003P///P002P///P001P///                
1560531 101022110 1 11 ///// 00059 N00050 E00046 Z00019 P002P///P002P///P002P///                
1570130 101022110 1 10 ///// 00055 N00041 E00054 Z00017 P002P///P002P///P001P///                
1600000 101022157 1 05 22170 00031 N00026 E00028 Z00029 F097F097F116F116F111F140                
1610001 101021597 1 06 22103 00030 N00026 E00026 Z00016 F067F061F118F118F112P205                
1660000 101022230 1 08 22235 00037 N00025 E00031 Z00014 F045F045F047F047F056F138                
A2006011023113083 006 394223 015 1400961 023 142309625V   5111  2 46èHìcåßâàä›ìÏïî            1K
2310031 102311370 1 05 ///// 00046 N00030 E00043 Z00045 F058P///F043P///F146P///                
A2006011100070086 013 432393 041 1451290 0631177709844D45V5113  1  6ç™é∫ínï˚íÜïî              6K
1660000 110007207 3 26 07315 00367 N00343 E00174 Z00103 F045F045F039F039F052F052                
1600000 110007339 1 10 07354 00055 N00030 E00052 Z00021 F045F045F063F063F059F059                
1610001 110007347 1 09 07349 00040 N00034 E00028 Z00014 F058F058F059F059F047F047                
1610130 110007210 1 07 ///// 00025 N00018 E00014 Z00026 P002P///P005P///P002P///                
1610200 110007205 1 11 07323 00043 N00037 E00040 Z00017 F044F044F038F038F057F038                
1650000 110007300 1 09 07315 00043 N00038 E00037 Z00011 F083F083F051F051F067F116                
A2006011108592537 003 334486 012 1300980 010  82904327V   5111  7281ïüâ™åßñkêºâ´              1K
7100410 110859277 1 07 59292 00303 N00255 E00122 Z00214 F103F103F117F117F210F210                
A2006011109141854 012 352181 027 1390745 031 197110633V   5111  3 97ê_ìﬁêÏåßêºïî             13K
3610320 110914280 1 11 ///// 00069 N00050 E00054 Z00025 F037F043F041F043F055F055                
3610341 110914281 1 05 ///// 00043 N00032 E00032 Z00021 P001P001P001P001P001P001                
3610343 110914273 1 07 ///// 00043 N00030 E00040 Z00021 P001P001P001P001P001P001                
3610531 110914250 1 08 ///// 00057 N00030 E00053 Z00052 F050F076F050F076F090F090                
3610920 110914240 1 11 ///// 00127 N00115 E00089 Z00069 F142F142F166F166F200F200                
3611130 110914230 1 10 ///// 00160 N00097 E00142 Z00062 F055F076F050F076F100F076                
3611230 110914270 1 07 ///// 00034 N00027 E00021 Z00016 F043F041F041F041F071F076                
3611530 110914270 1 12 ///// 00081 N00058 E00038 Z00066 F045F041F047F041F076F090                
3612000 110914266 1 06 14331 00052 N00036 E00050 Z00027 F089F089F131F131F088F134                
3612041 110914298 1 07 ///// 00108 N///// E///// Z///// P001P///P001P///P001P///                
3612240 110914302 1 10 ///// 00058 N///// E///// Z///// P001P///P001P///P001P///                
4120430 110914280 1 06 ///// 00083 N00070 E00070 Z00081 P002P///P001P///P001P///                
4400020 110914237 1 09 14277 00152 N00140 E00142 Z00058 F142F179F241F240F254F255                
A2006011217245940 003 351923 011 1331930 012  84506222V   5111  6222íπéÊåßêºïî                2K
5631430 121725016 1 11 ///// 00232 N00232 E00168 Z00049 P001P///P001P///P001P///                
5631431 121725028 1 05 ///// 00108 N00074 E00062 Z00107 P001P///P001P///P001P///                
A2006011306165133 003 315821 009 1302744 012  86304631V   5111  7273é≠éôìáåßéFñÄínï˚          3K
7430030 130617000 1 06 ///// 00041 N00036 E00039 Z00012 P///P///P///P///P///P///                
7705300 130616547 1 05 16552 00078 N00068 E00069 Z00056 F061F061F195F195F160F160                
7706000 130616580 1 07 16581 00064 N00048 E00030 Z00044 F060F060F096F096F077F077                
A2006011308475253 017 420210 075 1423587 069 607814739D40V5111  1 30âYâÕâ´                    5K
1510030 130848150 1 14 ///// 00031 N00031 E00022 Z00008 P006P///P006P///P002P///                
1510300 130848098 1 13 48156 00050 N00049 E00044 Z00008 F027F027F031F031F031F259                
1520000 130848027 1 12 48117 00043 N00034 E00034 Z00019 F049F049F044F044F036F041                
1560531 130848230 1 06 ///// 00026 N00021 E00021 Z00007 P003P///P002P///P001P///                
1570400 130848078 1 05 48193 00042 N00032 E00039 Z00015 F078F078F103F104F110F208                
A2006011320524329 003 340081 008 1350971 013  61904931V   5112  5190òaâÃéRåßñkïî              9K
5502630 132052460 2 22 ///// 00746 N00276 E00698 Z00156 F091P///F100P///F087P///                
5500130 132052490 1 06 ///// 00054 N00040 E00053 Z00028 F054P///F079P///F054P///                
5500131 132052480 1 07 ///// 00051 N00045 E00049 Z00024 F043P///F051P///F102P///                
5500320 132052474 1 06 52475 00081 N00056 E00071 Z00019 F084F085F096F096F074F096                
5500400 132052460 1 10 52479 00319 N00310 E00092 Z00164 F119F119F158F158F149F150                
5501930 132052460 1 14 ///// 00161 N00136 E00141 Z00068 F038P///F042P///F053P///                
5502030 132052470 1 09 ///// 00088 N00076 E00051 Z00035 F052P///F057P///F056P///                
5502530 132052500 1 12 ///// 00318 N00126 E00313 Z00139 F069P///F089P///F126P///                
5503530 132052470 1 10 ///// 00091 N00060 E00049 Z00091 F044P///F122P///F102P///                
A2006011415300934 011 361127 030 1400164 041 524309643D46V5114  3 88àÔèÈåßìÏïî              357K
3110631 141530180 4 35 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3000031 141530190 3 26 ///// 00558 N00540 E00281 Z00182 P///P///P///P///P///P///                
3000530 141530190 3 25 ///// 00507 N00358 E00453 Z00160 P///P///P///P///P///P///                
3000531 141530180 3 28 ///// 00464 N00388 E00407 Z00155 P///P///P///P///P///P///                
3003130 141530270 3 25 ///// 00179 N00165 E00169 Z00090 P///P///P///P///P///P///                
3003331 141530200 3 29 ///// 00786 N00436 E00702 Z00230 P///P///P///P///P///P///                
3003430 141530190 3 25 ///// 00830 N00767 E00505 Z00253 P///P///P///P///P///P///                
3010200 141530179 3 28 30240 00580 N00400 E00470 Z00298 F138F138F056F056F179F179                
3010231 141530180 3 26 ///// 00482 N00198 E00472 Z00225 P///P///P///P///P///P///                
3010630 141530180 3 25 ///// 00448 N00386 E00294 Z00135 P///P///P///P///P///P///                
3014330 141530180 3 29 ///// 00650 N00460 E00540 Z00137 P///P///P///P///P///P///                
3015430 141530180 3 31 ///// 01038 N00991 E00481 Z00353 P///P///P///P///P///P///                
3015431 141530180 3 26 ///// 00506 N00465 E00323 Z00154 P///P///P///P///P///P///                
3015600 141530184 3 27 30252 00308 N00305 E00147 Z00122 F028F028F023F023F072F072                
3015632 141530180 3 26 ///// 00555 N00360 E00434 Z00190 P///P///P///P///P///P///                
3016030 141530180 3 29 ///// 00633 N00587 E00377 Z00442 P///P///P///P///P///P///                
3016032 141530180 3 25 ///// 00647 N00481 E00501 Z00538 P///P///P///P///P///P///                
3110000 141530198 3 26 30271 00330 N00302 E00190 Z00078 F051F051F053F053F066F066                
3110200 141530193 3 26 30260 00813 N00378 E00764 Z00127 F130F130F119F119F046F046                
3110231 141530200 3 25 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110260 141530260 3 25 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110430 141530210 3 25 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110530 141530190 3 25 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3111400 141530200 3 26 30258 00220 N00212 E00098 Z00062 F034F034F034F034F035F035                
3112130 141530250 3 25 ///// 00272 N00225 E00237 Z00121 P001P001P002P001P002P001                
3300800 141530201 3 25 30276 00236 N00223 E00117 Z00042 F049F050F049F042F076F076                
3310730 141530207 3 27 30271 00494 N00462 E00336 Z00174 P002P002P001P001P002P002                
2500231 141530370 2 17 ///// 00079 N///// E///// Z///// P///P///P///P///P///P///                
3000000 141530202 2 24 30289 00309 N00209 E00283 Z00114 F042F042F141F141F091F091                
3000030 141530200 2 20 ///// 00209 N00135 E00151 Z00126 P///P///P///P///P///P///                
3000130 141530310 2 22 ///// 00154 N00076 E00136 Z00065 P///P///P///P///P///P///                
3000131 141530330 2 21 ///// 00133 N00090 E00105 Z00054 P///P///P///P///P///P///                
3000200 141530219 2 22 30308 00312 N00155 E00281 Z00053 F208F208F074F074F074F074                
3000230 141530300 2 16 ///// 00066 N00047 E00056 Z00036 P///P///P///P///P///P///                
3000532 141530180 2 23 ///// 00826 N00444 E00781 Z00262 P///P///P///P///P///P///                
3000730 141530190 2 21 ///// 00206 N00183 E00132 Z00153 P///P///P///P///P///P///                
3003100 141530212 2 19 30288 00126 N00119 E00115 Z00062 F055F055F060F060F063F063                
3003131 141530140 2 21 ///// 00164 N00131 E00112 Z00048 P///P///P///P///P///P///                
3003133 141530190 2 16 ///// 00479 N00465 E00250 Z00226 P///P///P///P///P///P///                
3003230 141530220 2 16 ///// 00099 N00082 E00093 Z00038 P///P///P///P///P///P///                
3003231 141530250 2 15 ///// 00089 N00081 E00056 Z00055 P///P///P///P///P///P///                
3003330 141530200 2 23 ///// 00423 N00261 E00358 Z00120 P///P///P///P///P///P///                
3003332 141530220 2 15 ///// 00314 N00256 E00282 Z00089 P///P///P///P///P///P///                
3003431 141530110 2 22 ///// 00319 N00286 E00280 Z00128 P///P///P///P///P///P///                
3003432 141530190 2 22 ///// 00397 N00385 E00211 Z00228 P///P///P///P///P///P///                
3010000 141530192 2 21 30193 00525 N00196 E00207 Z00524 F096F072F125F124F103F103                
3010030 141530180 2 24 ///// 00734 N00405 E00371 Z00719 P///P///P///P///P///P///                
3010031 141530180 2 18 ///// 00381 N00170 E00148 Z00350 P///P///P///P///P///P///                
3010131 141530250 2 19 ///// 00143 N00133 E00075 Z00037 P///P///P///P///P///P///                
3010132 141530180 2 24 ///// 00219 N00216 E00196 Z00099 P///P///P///P///P///P///                
3010230 141530180 2 15 ///// 00313 N00108 E00311 Z00098 P///P///P///P///P///P///                
3010430 141530180 2 19 ///// 00120 N00103 E00115 Z00080 P///P///P///P///P///P///                
3010631 141530120 2 18 ///// 00241 N00190 E00238 Z00140 P///P///P///P///P///P///                
3011130 141530180 2 21 ///// 00540 N00183 E00284 Z00493 P///P///P///P///P///P///                
3011131 141530180 2 20 ///// 00344 N00123 E00146 Z00343 P///P///P///P///P///P///                
3011200 141530224 2 22 30323 00158 N00141 E00115 Z00056 F048F048F048F048F076F076                
3012030 141530200 2 16 ///// 00115 N00069 E00099 Z00088 P///P///P///P///P///P///                
3012430 141530130 2 20 ///// 00391 N00159 E00111 Z00385 P///P///P///P///P///P///                
3012530 141530180 2 15 ///// 00164 N00132 E00102 Z00156 P///P///P///P///P///P///                
3014730 141530130 2 20 ///// 00238 N00213 E00160 Z00084 P///P///P///P///P///P///                
3015031 141530190 2 24 ///// 00329 N00270 E00200 Z00086 P///P///P///P///P///P///                
3015130 141530180 2 17 ///// 00218 N00106 E00091 Z00210 P///P///P///P///P///P///                
3015400 141530100 2 21 30266 00179 N00145 E00144 Z00139 F070F070F063F063F054F054                
3015530 141530190 2 18 ///// 00322 N00106 E00142 Z00290 P///P///P///P///P///P///                
3015531 141530190 2 17 ///// 00151 N00128 E00106 Z00143 P///P///P///P///P///P///                
3015533 141530230 2 20 ///// 00217 N00183 E00145 Z00099 P///P///P///P///P///P///                
3015630 141530200 2 23 ///// 00391 N00278 E00275 Z00117 P///P///P///P///P///P///                
3015631 141530170 2 23 ///// 00543 N00261 E00524 Z00173 P///P///P///P///P///P///                
3015730 141530180 2 19 ///// 00350 N00198 E00330 Z00344 P///P///P///P///P///P///                
3015731 141530180 2 23 ///// 00506 N00494 E00270 Z00485 P///P///P///P///P///P///                
3015930 141530200 2 17 ///// 00156 N00110 E00115 Z00120 P///P///P///P///P///P///                
3015931 141530200 2 15 ///// 00113 N00094 E00069 Z00085 P///P///P///P///P///P///                
3015932 141530190 2 21 ///// 00362 N00272 E00311 Z00259 P///P///P///P///P///P///                
3016031 141530170 2 23 ///// 00297 N00253 E00272 Z00115 P///P///P///P///P///P///                
3016100 141530200 2 20 30278 00239 N00226 E00131 Z00132 F065F065F093F093F064F064                
3016130 141530200 2 23 ///// 00327 N00175 E00285 Z00101 P///P///P///P///P///P///                
3016131 141530210 2 16 ///// 00102 N00101 E00088 Z00043 P///P///P///P///P///P///                
3016230 141530120 2 17 ///// 00263 N00138 E00171 Z00199 P///P///P///P///P///P///                
3016231 141530170 2 20 ///// 00246 N00133 E00130 Z00214 P///P///P///P///P///P///                
3016330 141530180 2 16 ///// 00277 N00087 E00089 Z00275 P///P///P///P///P///P///                
3100231 141530320 2 15 ///// 00115 N00069 E00115 Z00036 P003P004P003P004P003P002                
3110030 141530210 2 17 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110031 141530220 2 19 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110032 141530280 2 23 ///// 00180 N00145 E00121 Z00047 P003P002P003P002P002P001                
3110100 141530213 2 19 30299 00191 N00167 E00162 Z00066 F099F099F096F099F280F279                
3110130 141530290 2 16 ///// 00106 N00089 E00102 Z00067 P003P002P002P002P002P002                
3110232 141530250 2 18 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110233 141530260 2 17 ///// 00092 N00084 E00073 Z00049 P004P004P003P002P002P002                
3110234 141530200 2 19 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110330 141530260 2 15 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110331 141530200 2 18 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
3110332 141530240 2 22 ///// ///// N///// E///// Z///// P///P///P///P///P///P///                
